"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U1";"DIP-16_W10.16mm";1;"LM324";;;
2;"L2,L1";"TerminalBlock_MetzConnect_Type055_RT01502HDWU_1x02_P5.00mm_Horizontal";2;"L";;;
3;"C1";"C_Disc_D3.0mm_W2.0mm_P2.50mm";1;"47nF";;;
4;"R13";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"12k";;;
5;"R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"100";;;
6;"R6,R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"10k";;;
7;"R11,R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"4k7";;;
8;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"120";;;
9;"R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"240";;;
10;"D1";"TO-92_Inline";1;"TL431LP";;;
11;"D2,D3,D4,D5";"D_DO-35_SOD27_P7.62mm_Horizontal";4;"1N4148";;;
12;"Q1";"TO-126-3_Vertical";1;"BD237";;;
13;"SW1";"SW_PUSH_6mm";1;"SW_DIP_x01";;;
14;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"440";;;
15;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1k3";;;
16;"R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"27";;;
17;"R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"15";;;
18;"R14";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"3k3";;;
19;"R15";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1k2";;;
20;"J1";"TerminalBlock_MetzConnect_Type055_RT01502HDWU_1x02_P5.00mm_Horizontal";1;"Conn_01x02_Female";;;
21;"RV1,RV2,RV3,RV4";"Potentiometer_Bourns_3266Y_Vertical";4;"R_POT";;;
